birthdate,combine_bench,combine_broad_jump,combine_cone,combine_shuttle,combine_vert,combine_year,draft_pick,forty_yd,height,height.1,player_link,player_name,position,weight
1988-08-08 00:00:00,,,,,,,,,,,/players/T/TannPh00.htm,Phillip Tanner,RB,
1983-06-13 00:00:00,17.0,133.0,0.0,0.0,46.0,2005.0,157.0,4.44,72.0,,/players/S/SensGe20.htm,Gerald Sensabaugh,DB,214.0
1988-02-11 00:00:00,19.0,121.0,6.65,4.17,36.0,2010.0,,4.69,73.0,,/players/C/ChurBa99.htm,Barry Church,DB,222.0
1986-07-22 00:00:00,24.0,120.0,0.0,0.0,37.5,2010.0,55.0,4.71,74.0,,/players/L/LeexSe99.htm,Sean Lee,LB,236.0
1984-01-23 00:00:00,30.0,112.0,7.14,4.43,32.5,2007.0,26.0,4.7,75.0,,/players/S/SpenAn99.htm,Anthony Spencer,DL,261.0
1990-02-07 00:00:00,0.0,118.0,7.01,4.12,34.5,2012.0,6.0,4.5,71.0,,/players/C/ClaiMo00.htm,Morris Claiborne,DB,188.0
1986-05-19 00:00:00,,,,,,,140.0,,,,/players/C/CarrBr99.htm,Brandon Carr,DB,
1982-07-31 00:00:00,27.0,122.0,6.83,4.07,38.5,2005.0,11.0,4.56,76.0,,/players/W/WareDe99.htm,DeMarcus Ware,LB,251.0
1982-07-13 00:00:00,28.0,113.0,7.67,4.49,35.5,2006.0,92.0,4.82,78.0,,/players/H/HatcJa20.htm,Jason Hatcher,DL,284.0
1988-02-19 00:00:00,25.0,0.0,0.0,0.0,0.0,2011.0,40.0,4.57,73.0,,/players/C/CartBr00.htm,Bruce Carter,LB,241.0
1987-02-10 00:00:00,0.0,125.0,6.83,0.0,33.5,2008.0,143.0,4.32,70.0,,/players/S/ScanOr99.htm,Orlando Scandrick,DB,192.0
1987-09-11 00:00:00,,,,,,,234.0,,,,/players/L/LissSe99.htm,Sean Lissemore,DL,
1979-04-10 00:00:00,32.0,0.0,0.0,0.0,0.0,2002.0,147.0,4.97,77.0,,/players/C/ColeKe20.htm,Kenyon Coleman,DL,284.0
1988-08-17 00:00:00,,,,,,,,,,,/players/S/SilvMa00.htm,Mana Silva,DB,
1988-01-30 00:00:00,,,,,,,1.0,,,,/players/B/BrenJo00.htm,Josh Brent,DL,
1983-03-08 00:00:00,0.0,0.0,0.0,0.0,0.0,2005.0,20.0,5.05,76.0,,/players/S/SpeaMa21.htm,Marcus Spears,DL,307.0
1988-10-20 00:00:00,0.0,120.0,7.09,4.37,30.5,2011.0,,4.65,72.0,,/players/B/ButlMa00.htm,Mario Butler,DB,182.0
1987-07-29 00:00:00,24.0,113.0,7.21,4.4,33.0,2009.0,110.0,4.72,74.0,,/players/B/ButlVi99.htm,Victor Butler,LB,248.0
1985-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0,2008.0,74.0,4.67,74.0,,/players/C/ConnDa99.htm,Dan Connor,LB,231.0
1989-11-22 00:00:00,28.0,113.0,7.09,4.44,33.0,2012.0,81.0,4.82,76.0,,/players/C/CrawTy00.htm,Tyrone Crawford,DL,275.0
1988-01-29 00:00:00,,,,,,,,,,,/players/A/AlbrAl00.htm,Alex Albright,LB,
1988-06-16 00:00:00,11.0,130.0,6.69,4.31,35.0,2011.0,,4.51,76.0,,/players/H/HolmAn00.htm,Andre Holmes,WR,210.0
1987-09-16 00:00:00,10.0,111.0,6.77,4.21,34.0,2011.0,176.0,4.53,70.0,,/players/H/HarrDw00.htm,Dwayne Harris,WR,203.0
1988-01-26 00:00:00,0.0,0.0,0.0,0.0,0.0,2011.0,,4.92,72.0,,/players/B/BailDa00.htm,Dan Bailey,K,193.0
1989-07-21 00:00:00,,,,,,,,,,,/players/J/JoneCh02.htm,Chris Jones,P,
1981-03-13 00:00:00,,,,,,,,,,,/players/L/LadoL.20.htm,L.P. Ladouceur,OL,
1980-09-07 00:00:00,0.0,92.0,0.0,0.0,25.0,2003.0,81.0,5.58,78.0,,/players/D/DockDe20.htm,Derrick Dockery,OL,347.0
1983-07-05 00:00:00,23.0,98.0,8.36,5.07,31.5,2006.0,176.0,5.41,77.0,,/players/B/BootKe20.htm,Kevin Boothe,OL,316.0
1982-01-18 00:00:00,29.0,104.0,7.75,4.66,30.5,2004.0,34.0,5.1,75.0,,/players/S/SneeCh20.htm,Chris Snee,OL,314.0
1981-09-28 00:00:00,29.0,105.0,7.5,4.46,29.5,2005.0,33.0,5.06,76.0,,/players/B/BaasDa20.htm,David Baas,OL,319.0
1981-05-29 00:00:00,27.0,100.0,7.85,4.56,29.0,2004.0,84.0,5.16,76.0,,/players/L/LockSe20.htm,Sean Locklear,OL,308.0
1980-09-15 00:00:00,22.0,96.0,8.1,4.97,28.0,2003.0,160.0,5.26,78.0,,/players/D/DiehDa21.htm,David Diehl,OL,310.0
1981-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,2004.0,1.0,4.9,77.0,,/players/M/MannEl00.htm,Eli Manning,QB,221.0
1987-03-10 00:00:00,18.0,118.0,7.64,4.53,34.0,2008.0,61.0,4.68,78.0,,/players/B/BennMa00.htm,Martellus Bennett,TE,259.0
1988-01-14 00:00:00,0.0,0.0,0.0,0.0,36.0,2009.0,29.0,4.51,73.0,,/players/N/NickHa01.htm,Hakeem Nicks,WR,212.0
1986-03-19 00:00:00,0.0,112.0,6.7,4.09,34.0,2007.0,250.0,4.55,69.0,,/players/B/BradAh00.htm,Ahmad Bradshaw,RB,198.0
1986-11-11 00:00:00,,,,,,,,,,,/players/C/CruzVi00.htm,Victor Cruz,WR,
1984-10-08 00:00:00,,,,,,,130.0,,,,/players/H/HixoDo00.htm,Domenik Hixon,WR,
1988-12-30 00:00:00,24.0,111.0,0.0,0.0,30.5,2011.0,,5.06,72.0,,/players/H/HynoHe01.htm,Henry Hynoski,RB,257.0
1986-02-23 00:00:00,0.0,107.0,7.65,4.55,26.5,2009.0,184.0,4.89,77.0,,/players/P/PascBe00.htm,Bear Pascoe,TE,251.0
1985-03-02 00:00:00,27.0,107.0,7.62,4.77,33.5,2009.0,60.0,5.06,78.0,,/players/B/BeatWi20.htm,Will Beatty,OL,307.0
1991-06-15 00:00:00,0.0,132.0,7.09,4.12,41.0,2012.0,32.0,4.38,70.0,,/players/W/WilsDa01.htm,David Wilson,RB,206.0
1991-05-07 00:00:00,15.0,121.0,6.99,4.36,31.0,2012.0,63.0,4.55,75.0,,/players/R/RandRu00.htm,Rueben Randle,WR,210.0
1988-09-23 00:00:00,,,,,,,127.0,,,,/players/R/RobiAd00.htm,Adrien Robinson,TE,
1986-01-01 00:00:00,17.0,118.0,0.0,4.26,33.5,2009.0,85.0,4.51,78.0,,/players/B/BardRa00.htm,Ramses Barden,WR,229.0
1982-03-02 00:00:00,9.0,0.0,0.0,0.0,0.0,2005.0,43.0,4.5,72.0,,/players/W/WebsCo20.htm,Corey Webster,DB,199.0
1986-11-24 00:00:00,19.0,121.0,6.97,4.27,32.5,2008.0,31.0,4.48,74.0,,/players/P/PhilKe99.htm,Kenny Phillips,DB,212.0
1982-12-16 00:00:00,15.0,0.0,0.0,0.0,0.0,2005.0,8.0,4.48,72.0,,/players/R/RollAn20.htm,Antrel Rolle,DB,201.0
1989-01-01 00:00:00,19.0,115.0,7.18,4.67,30.5,2010.0,15.0,4.71,77.0,,/players/P/PierJa99.htm,Jason Pierre-Paul,DL,270.0
1988-10-10 00:00:00,39.0,100.0,8.12,4.71,30.0,2010.0,46.0,5.09,76.0,,/players/J/JoseLi99.htm,Linval Joseph,DL,328.0
1983-06-10 00:00:00,,,,,,,,,,,/players/B/BlacCh21.htm,Chase Blackburn,LB,
1979-04-19 00:00:00,30.0,108.0,7.43,4.41,33.0,2002.0,146.0,4.96,75.0,,/players/B/BernRo20.htm,Rocky Bernard,DL,294.0
1983-03-29 00:00:00,,,,,,,74.0,,,,/players/T/TuckJu20.htm,Justin Tuck,DL,
1983-12-17 00:00:00,17.0,122.0,6.78,4.31,35.0,2007.0,173.0,4.53,73.0,,/players/C/CoexMi99.htm,Michael Coe,DB,190.0
1981-11-16 00:00:00,,,,,,,56.0,,,,/players/U/UmenOs99.htm,Osi Umenyiora,DL,
1982-08-24 00:00:00,0.0,113.0,7.08,4.12,34.0,2005.0,160.0,4.56,75.0,,/players/B/BoleMi20.htm,Michael Boley,LB,236.0
1983-03-08 00:00:00,17.0,120.0,7.27,4.13,32.0,2006.0,32.0,4.7,78.0,,/players/K/KiwaMa20.htm,Mathias Kiwanuka,DL,266.0
1988-07-20 00:00:00,,,,,,,202.0,,,,/players/W/WillJa02.htm,Jacquian Williams,LB,
1990-09-18 00:00:00,11.0,0.0,0.0,0.0,0.0,2012.0,94.0,4.38,70.0,,/players/H/HoslJa00.htm,Jayron Hosley,DB,178.0
1986-05-05 00:00:00,24.0,0.0,0.0,0.0,0.0,2008.0,9.0,4.54,74.0,,/players/R/RiveKe99.htm,Keith Rivers,LB,241.0
1984-05-29 00:00:00,21.0,119.0,7.41,4.28,32.5,2008.0,124.0,4.42,69.0,,/players/T/TryoJu99.htm,Justin Tryon,DB,190.0
1986-05-06 00:00:00,28.0,112.0,7.43,4.41,34.5,2012.0,239.0,4.87,77.0,,/players/K/KuhnMa00.htm,Markus Kuhn,DL,299.0
1987-09-01 00:00:00,29.0,112.0,7.32,4.46,32.5,2011.0,,4.91,76.0,,/players/H/HerzMa00.htm,Mark Herzlich,LB,244.0
1988-06-28 00:00:00,,,,,,,,,,,/players/P/PaysSp00.htm,Spencer Paysinger,LB,
1987-07-17 00:00:00,,,,,,,251.0,,,,/players/B/BrowSt99.htm,Stevie Brown,DB,
1986-12-15 00:00:00,24.0,115.0,7.35,4.33,37.0,2009.0,129.0,4.37,72.0,,/players/B/BrowAn03.htm,Andre Brown,RB,224.0
1990-03-07 00:00:00,0.0,123.0,0.0,4.19,31.0,2011.0,,4.64,73.0,,/players/H/HillWi01.htm,Will Hill,DB,202.0
1987-08-22 00:00:00,,,,,,,,,,,/players/C/CordJi00.htm,Jim Cordle,OL,
1982-12-17 00:00:00,0.0,0.0,0.0,0.0,0.0,2006.0,,4.82,74.0,,/players/W/WeatSt20.htm,Steve Weatherford,P,217.0
1987-04-06 00:00:00,20.0,110.0,7.08,4.34,35.5,2010.0,184.0,4.76,75.0,,/players/T/TracAd99.htm,Adrian Tracy,LB,248.0
1978-05-03 00:00:00,,,,,,,,,,,/players/T/tyneslaw01.htm,Lawrence Tynes,K,
1984-05-24 00:00:00,26.0,122.0,6.89,4.22,34.5,2007.0,116.0,4.58,77.0,,/players/D/DeOsZa99.htm,Zak DeOssie,LB,250.0
1985-04-24 00:00:00,,,,,,,246.0,,,,/players/L/LouiLa20.htm,Lance Louis,OL,
1988-08-08 00:00:00,,,,,,,218.0,,,,/players/W/WebbJM20.htm,J'Marcus Webb,OL,
1988-06-13 00:00:00,29.0,109.0,0.0,0.0,31.5,2011.0,29.0,5.18,79.0,,/players/C/CariGa00.htm,Gabe Carimi,OL,314.0
1979-03-26 00:00:00,37.0,114.0,7.71,4.53,32.5,2001.0,99.0,5.0,74.0,,/players/G/GarzRo20.htm,Roberto Garza,OL,303.0
1982-03-28 00:00:00,26.0,105.0,8.06,4.59,32.0,2005.0,26.0,5.21,75.0,,/players/S/SpenCh21.htm,Chris Spencer,OL,309.0
1983-04-29 00:00:00,23.0,0.0,7.1,4.26,0.0,2006.0,11.0,4.77,75.0,,/players/C/CutlJa00.htm,Jay Cutler,QB,226.0
1985-10-11 00:00:00,22.0,118.0,7.25,4.38,28.0,2008.0,158.0,4.59,78.0,,/players/D/DaviKe01.htm,Kellen Davis,TE,262.0
1984-03-23 00:00:00,0.0,120.0,0.0,0.0,37.0,2006.0,119.0,4.52,76.0,,/players/M/MarsBr00.htm,Brandon Marshall,WR,229.0
1985-12-10 00:00:00,23.0,118.0,6.84,4.23,33.0,2008.0,44.0,4.44,73.0,,/players/F/FortMa00.htm,Matt Forte,RB,217.0
1990-02-14 00:00:00,0.0,0.0,0.0,0.0,0.0,2012.0,45.0,4.48,75.0,,/players/J/JeffAl00.htm,Alshon Jeffery,WR,216.0
1982-11-04 00:00:00,16.0,124.0,0.0,0.0,38.0,2006.0,57.0,4.41,71.0,,/players/H/HestDe99.htm,Devin Hester,WR,190.0
1983-11-24 00:00:00,0.0,0.0,0.0,0.0,0.0,2007.0,77.0,4.83,79.0,,/players/S/SpaeMa00.htm,Matt Spaeth,TE,270.0
1984-06-16 00:00:00,0.0,0.0,0.0,0.0,0.0,2007.0,100.0,4.62,73.0,,/players/B/BushMi00.htm,Michael Bush,RB,243.0
1988-09-21 00:00:00,18.0,119.0,6.94,4.28,36.0,2012.0,111.0,4.53,73.0,,/players/R/RodrEv00.htm,Evan Rodriguez,TE,239.0
1987-03-23 00:00:00,15.0,110.0,7.15,4.22,26.0,2008.0,70.0,4.48,71.0,,/players/B/BennEa00.htm,Earl Bennett,WR,209.0
1988-01-19 00:00:00,,,,,,,,,,,/players/A/AdamKy00.htm,Kyle Adams,TE,
1985-08-26 00:00:00,21.0,103.0,7.95,4.85,25.0,2008.0,14.0,5.13,78.0,,/players/W/WillCh03.htm,Chris Williams,OL,315.0
1983-12-24 00:00:00,17.0,117.0,0.0,0.0,37.5,2006.0,62.0,4.32,68.0,,/players/J/JennTi20.htm,Tim Jennings,DB,185.0
1989-02-23 00:00:00,18.0,127.0,7.01,4.19,35.5,2011.0,93.0,4.52,74.0,,/players/C/ContCh00.htm,Chris Conte,DB,197.0
1988-07-01 00:00:00,14.0,119.0,6.95,4.36,37.5,2010.0,75.0,4.44,71.0,,/players/W/WrigMa99.htm,Major Wright,DB,206.0
1980-11-12 00:00:00,25.0,113.0,0.0,0.0,33.0,2003.0,68.0,4.75,73.0,,/players/B/BrigLa99.htm,Lance Briggs,LB,242.0
1983-07-23 00:00:00,17.0,111.0,6.87,3.9,34.0,2005.0,60.0,4.45,70.0,,/players/H/HaydKe20.htm,Kelvin Hayden,DB,197.0
1980-01-18 00:00:00,0.0,0.0,0.0,0.0,0.0,2002.0,2.0,4.74,78.0,,/players/P/PeppJu99.htm,Julius Peppers,DL,283.0
1985-06-16 00:00:00,,,,,,,,,,,/players/R/RoacNi99.htm,Nick Roach,LB,
1986-10-11 00:00:00,,,,,,,105.0,,,,/players/M/MeltHe99.htm,Henry Melton,DL,
1980-11-17 00:00:00,,,,,,,,,,,/players/I/IdonIs20.htm,Israel Idonije,DL,
1988-05-11 00:00:00,49.0,0.0,0.0,0.0,0.0,2011.0,53.0,4.98,73.0,,/players/P/PaeaSt00.htm,Stephen Paea,DL,303.0
1987-03-22 00:00:00,17.0,118.0,7.01,4.28,39.5,2009.0,119.0,4.56,69.0,,/players/M/MoorDJ99.htm,D.J. Moore,DB,192.0
1984-10-09 00:00:00,26.0,0.0,0.0,0.0,0.0,2007.0,187.0,5.11,74.0,,/players/T/ToeaMa99.htm,Matt Toeaina,DL,307.0
1989-08-01 00:00:00,19.0,118.0,7.07,4.33,31.5,2012.0,19.0,4.62,75.0,,/players/M/McClSh00.htm,Shea McClellin,DL,260.0
1978-05-25 00:00:00,27.0,122.0,6.94,4.18,34.0,2000.0,9.0,4.59,76.0,,/players/U/UrlaBr00.htm,Brian Urlacher,LB,258.0
1987-06-22 00:00:00,20.0,0.0,0.0,0.0,0.0,2010.0,109.0,4.92,78.0,,/players/W/WootCo99.htm,Corey Wootton,DL,270.0
1987-08-10 00:00:00,22.0,116.0,7.22,4.48,26.5,2008.0,175.0,4.64,73.0,,/players/H/HayeGe98.htm,Geno Hayes,LB,226.0
1981-02-23 00:00:00,12.0,131.0,7.05,3.89,40.0,2003.0,35.0,4.49,73.0,,/players/T/TillCh20.htm,Charles Tillman,DB,207.0
1986-05-07 00:00:00,0.0,0.0,0.0,0.0,0.0,2008.0,120.0,4.63,73.0,,/players/S/StelCr99.htm,Craig Steltz,DB,213.0
1984-04-14 00:00:00,,,,,,,,,,,/players/C/CostBl20.htm,Blake Costanzo,LB,
1988-08-15 00:00:00,23.0,114.0,7.23,4.28,30.5,2011.0,195.0,4.65,73.0,,/players/T/ThomJ.02.htm,J.T. Thomas,LB,241.0
1985-07-04 00:00:00,,,,,,,,,,,/players/W/WeemEr00.htm,Eric Weems,WR,
1987-12-19 00:00:00,0.0,0.0,0.0,0.0,0.0,2010.0,144.0,4.48,71.0,,/players/M/McMaSh99.htm,Sherrick McManis,DB,195.0
1988-09-19 00:00:00,,,,,,,,,,,/players/W/WaltAn01.htm,Anthony Walters,DB,
1981-12-30 00:00:00,,,,,,,,,,,/players/G/gouldrob01.htm,Robbie Gould,K,
1975-04-18 00:00:00,,,,,,,189.0,,,,/players/M/MannPa20.htm,Patrick Mannelly,OL,
1983-08-11 00:00:00,0.0,0.0,0.0,0.0,0.0,2007.0,101.0,4.54,71.0,,/players/P/PodlAd20.htm,Adam Podlesh,P,202.0
1989-04-30 00:00:00,23.0,0.0,0.0,0.0,0.0,2011.0,,4.59,68.0,,/players/A/AlleAr00.htm,Armando Allen,RB,199.0
1985-12-17 00:00:00,23.0,90.0,7.59,4.7,24.5,2009.0,132.0,5.23,77.0,,/players/O/OlseSe20.htm,Seth Olsen,OL,306.0
1985-03-08 00:00:00,30.0,101.0,7.58,4.72,23.0,2008.0,109.0,5.38,76.0,,/players/M/McGlMi20.htm,Mike McGlynn,OL,311.0
1988-08-09 00:00:00,28.0,105.0,7.25,4.4,29.5,2011.0,22.0,5.21,79.0,,/players/C/CastAn00.htm,Anthony Castonzo,OL,311.0
1984-11-29 00:00:00,25.0,101.0,7.47,4.29,33.0,2007.0,60.0,5.24,75.0,,/players/S/SateSa20.htm,Samson Satele,OL,300.0
1989-09-12 00:00:00,0.0,124.0,6.8,4.28,36.0,2012.0,1.0,4.59,76.0,,/players/L/LuckAn00.htm,Andrew Luck,QB,234.0
1984-06-12 00:00:00,16.0,0.0,0.0,0.0,0.0,2008.0,33.0,4.43,71.0,,/players/A/AverDo00.htm,Donnie Avery,WR,192.0
1978-11-17 00:00:00,0.0,0.0,0.0,0.0,0.0,2001.0,30.0,4.45,72.0,,/players/W/WaynRe00.htm,Reggie Wayne,WR,198.0
1988-09-20 00:00:00,27.0,0.0,0.0,0.0,0.0,2012.0,34.0,4.51,78.0,,/players/F/FleeCo00.htm,Coby Fleener,TE,247.0
1987-09-04 00:00:00,,,,,,,,,,,/players/A/AdamKr00.htm,Kris Adams,WR,
1987-06-09 00:00:00,,,,,,,,,,,/players/L/LinkJe20.htm,Jeff Linkenbach,OL,
1990-02-24 00:00:00,27.0,110.0,7.12,4.37,32.0,2012.0,64.0,4.85,75.0,,/players/A/AlleDw00.htm,Dwayne Allen,TE,255.0
1984-09-14 00:00:00,0.0,110.0,7.31,4.53,35.0,2006.0,39.0,5.16,78.0,,/players/J/JustWi20.htm,Winston Justice,OL,319.0
1987-04-11 00:00:00,0.0,125.0,6.93,4.1,41.5,2009.0,27.0,4.46,70.0,,/players/B/BrowDo00.htm,Donald Brown,RB,210.0
1982-07-24 00:00:00,0.0,118.0,7.05,4.12,35.0,2004.0,119.0,4.65,71.0,,/players/M/MoorMe00.htm,Mewelde Moore,RB,209.0
1990-07-16 00:00:00,23.0,115.0,7.03,4.19,33.0,2012.0,170.0,4.59,70.0,,/players/B/BallVi00.htm,Vick Ballard,RB,219.0
1989-03-15 00:00:00,11.0,0.0,0.0,0.0,32.5,2012.0,206.0,4.43,71.0,,/players/B/BrazLa00.htm,LaVon Brazill,WR,192.0
1987-08-15 00:00:00,,,,,,,,,,,/players/J/JoneDo01.htm,Dominique Jones,TE,
1985-05-22 00:00:00,24.0,0.0,0.0,0.0,0.0,2008.0,86.0,4.44,71.0,,/players/Z/ZbikTo99.htm,Tom Zbikowski,DB,211.0
1986-05-01 00:00:00,,,,,,,,,,,/players/F/FreeJe00.htm,Jerrell Freeman,LB,
1987-07-19 00:00:00,15.0,122.0,7.09,4.08,36.5,2009.0,92.0,4.43,69.0,,/players/P/PoweJe99.htm,Jerraud Powers,DB,188.0
1981-02-26 00:00:00,,,,,,,138.0,,,,/players/M/MathRo20.htm,Robert Mathis,DL,
1988-05-27 00:00:00,25.0,125.0,6.75,4.07,36.0,2009.0,25.0,4.4,71.0,,/players/D/DaviVo99.htm,Vontae Davis,DB,203.0
1984-07-27 00:00:00,19.0,127.0,6.99,4.11,36.5,2006.0,207.0,4.39,71.0,,/players/B/BethAn20.htm,Antoine Bethea,DB,203.0
1988-08-13 00:00:00,26.0,118.0,6.99,4.15,34.5,2010.0,31.0,4.65,74.0,,/players/H/HughJe99.htm,Jerry Hughes,DL,255.0
1980-11-15 00:00:00,24.0,0.0,0.0,0.0,0.0,2003.0,66.0,4.88,76.0,,/players/R/ReddCo20.htm,Cory Redding,DL,279.0
1985-06-23 00:00:00,25.0,100.0,0.0,0.0,30.5,2009.0,56.0,5.07,76.0,,/players/M/MoalFi99.htm,Fili Moala,DL,305.0
1987-02-23 00:00:00,24.0,110.0,7.36,4.6,33.5,2010.0,240.0,4.59,72.0,,/players/C/ConnKa99.htm,Kavell Conner,LB,242.0
1984-12-08 00:00:00,28.0,108.0,7.47,4.49,29.0,2007.0,152.0,5.15,75.0,,/players/J/JohnAn03.htm,Antonio Johnson,DL,310.0
1987-05-11 00:00:00,14.0,127.0,7.14,4.31,34.0,2008.0,101.0,4.31,71.0,,/players/K/KingJu99.htm,Justin King,DB,192.0
1985-08-28 00:00:00,12.0,121.0,7.09,4.28,31.0,2009.0,230.0,4.65,73.0,,/players/F/FokoMo99.htm,Moise Fokou,LB,233.0
1987-10-07 00:00:00,,,,,,,,,,,/players/T/TevaMa00.htm,Martin Tevaseu,DL,
1987-09-06 00:00:00,,,,,,,,,,,/players/A/AddiMa00.htm,Mario Addison,DL,
1989-05-08 00:00:00,31.0,112.0,7.71,4.65,30.5,2011.0,87.0,5.06,73.0,,/players/N/NeviDr00.htm,Drake Nevis,DL,294.0
1987-07-30 00:00:00,,,,,,,238.0,,,,/players/M/MathRi99.htm,Ricardo Mathews,DL,
1987-08-10 00:00:00,,,,,,,,,,,/players/H/HarvMa00.htm,Mario Harvey,LB,
1980-02-19 00:00:00,28.0,0.0,0.0,0.0,0.0,2002.0,11.0,4.48,73.0,,/players/F/FreeDw00.htm,Dwight Freeney,DL,266.0
1988-06-02 00:00:00,18.0,122.0,6.82,4.13,36.5,2011.0,,4.42,72.0,,/players/L/LefeJo00.htm,Joe Lefeged,DB,210.0
1985-07-20 00:00:00,23.0,115.0,7.06,4.43,29.5,2007.0,,4.75,73.0,,/players/H/HickJu00.htm,Justin Hickman,LB,254.0
1987-11-03 00:00:00,,,,,,,,,,,/players/V/VaugCa00.htm,Cassius Vaughn,DB,
1988-05-22 00:00:00,,,,,,,,,,,/players/B/BrowSe00.htm,Sergio Brown,DB,
1987-05-02 00:00:00,,,,,,,222.0,,,,/players/M/McAfPa44.htm,Pat McAfee,K,
1985-07-06 00:00:00,,,,,,,,,,,/players/O/OverMa00.htm,Matt Overton,OL,
1987-02-09 00:00:00,,,,,,,,,,,/players/G/GordJo01.htm,Josh Gordy,DB,
1972-12-28 00:00:00,,,,,,,,,,,/players/V/vinatada01.htm,Adam Vinatieri,K,
1986-05-22 00:00:00,33.0,100.0,7.46,4.4,31.0,2009.0,226.0,5.19,73.0,,/players/S/ShipA.20.htm,A.Q. Shipley,OL,304.0
1983-12-10 00:00:00,0.0,0.0,0.0,0.0,0.0,2006.0,4.0,5.08,78.0,,/players/F/FergDB20.htm,D'Brickashaw Ferguson,OL,312.0
1986-02-18 00:00:00,0.0,110.0,7.86,4.86,34.0,2009.0,193.0,5.26,77.0,,/players/S/SlauMa20.htm,Matt Slauson,OL,316.0
1987-03-22 00:00:00,,,,,,,,,,,/players/H/HowaAu20.htm,Austin Howard,OL,
1980-06-03 00:00:00,32.0,96.0,7.84,4.64,25.5,2002.0,,5.26,75.0,,/players/M/MoorBr20.htm,Brandon Moore,OL,293.0
1984-01-13 00:00:00,24.0,104.0,7.47,4.36,27.5,2006.0,29.0,5.05,76.0,,/players/M/MangNi20.htm,Nick Mangold,OL,300.0
1986-11-11 00:00:00,0.0,116.0,7.06,4.21,32.5,2009.0,5.0,4.93,74.0,,/players/S/SancMa00.htm,Mark Sanchez,QB,227.0
1985-08-21 00:00:00,19.0,121.0,7.1,4.4,37.0,2009.0,65.0,4.55,70.0,,/players/G/GreeSh00.htm,Shonn Greene,RB,227.0
